uid,name,url,latitude,longitude,zipcode,rating,cluster,starting_price,res_score,bus_score,subway_score,traffic_score,res_score_raw,bus_score_raw,subway_score_raw
88,Estuary Apartments,https://s3-media3.fl.yelpcdn.com/bphoto/kQ88QUXV3av82ajTo-fJiw/o.jpg,40.763041,-74.021857,7086,3.5,106,1375,2.400095479,0,1.1390895,0.56954475,48.00190957,0,22.78179
89,110 Horatio Street,https://s3-media2.fl.yelpcdn.com/bphoto/pU01b4SxI8CRcW_G3Eef5Q/o.jpg,40.738624,-74.009432,10014,5,122,2064.3887,1.695658263,3.752409046,4.63115699,4.191783018,33.91316525,75.04818091,92.6231398
90,Chrystie,https://s3-media1.fl.yelpcdn.com/bphoto/Fb1gdCqY-Eflhc4x-QJXGQ/o.jpg,40.72346,-73.9919,10002,2,141,2016.551608,2.43880082,3.755624362,1.525137138,2.64038075,48.7760164,75.11248724,30.50274276
91,VIA 57 West,https://s3-media3.fl.yelpcdn.com/bphoto/_y1FaZ_Md7VpKFB0biT27A/o.jpg,40.7714779,-73.9930129,10019,3.5,90,1870.665791,3.212907651,3.807139995,1.953466698,2.880303346,64.25815301,76.14279989,39.06933395
92,Luxury Apartments LIC,https://s3-media3.fl.yelpcdn.com/bphoto/wolDs6o-vwLU_p9ckWgzXA/o.jpg,40.74962,-73.93963,11101,5,23,2271.114062,3.483845042,3.580277538,1.350089744,2.465183641,69.67690083,71.60555076,27.00179487
93,Lenox Terrace Leasing,https://s3-media1.fl.yelpcdn.com/bphoto/vrnm0h83XUZvGK4nMqSP8g/o.jpg,40.81326429,-73.94118315,10037,2.5,172,1698.169167,2.345908001,3.875704091,2.853974314,3.364839203,46.91816001,77.51408182,57.07948628
94,Kips Bay Court,https://s3-media4.fl.yelpcdn.com/bphoto/eRDKStKifzdQdATp4FQoVA/o.jpg,40.74074,-73.97832,10016,2.5,2,1305.767164,5,3.901534393,4.318019084,4.109776739,100,78.03068786,86.36038168
95,89 Murray,https://s3-media4.fl.yelpcdn.com/bphoto/xuQrJo-KVLROwy_iGlqHWg/o.jpg,40.71509839,-74.01156664,10007,4,125,883.3333333,3.646407476,3.90534952,4.579907763,4.242628642,72.92814952,78.1069904,91.59815526
96,Northside Piers,https://s3-media3.fl.yelpcdn.com/bphoto/8cReNkxh-1_Re8NLT6eOVw/o.jpg,40.7182094,-73.9625549,11211,4,140,1750.367646,3.483845042,3.854593135,0,1.927296568,69.67690083,77.0918627,0
97,Hub,https://s3-media4.fl.yelpcdn.com/bphoto/JgTUe8v87A44LyyxOVp_Vw/o.jpg,40.6874817,-73.9809402,11217,3.5,190,1634.125875,2.045792737,0,2.937030803,1.468515402,40.91585473,0,58.74061606
98,The Sagamore,https://s3-media4.fl.yelpcdn.com/bphoto/Y-Z1c3lBy2LNUe-atQB48w/o.jpg,40.7898844,-73.9732544,10024,4,6,2433.606409,3.046176949,3.902095667,4.623620905,4.262858286,60.92353897,78.04191333,92.47241809
99,Our Lady of Good Counsel SRO,https://s3-media1.fl.yelpcdn.com/bphoto/5VcaWy0FX4Lpi7KZmQrDaQ/o.jpg,40.687461,-73.92515,11221,1,75,2149.075182,3.348376346,3.463502842,1.485261848,2.474382345,66.96752692,69.27005683,29.70523695
100,The Addison,https://s3-media3.fl.yelpcdn.com/bphoto/WK15w2vqpWz7AK9l5WB7kA/o.jpg,40.688756,-73.9851235,11201,2,40,1650,1.5,3.913699522,0,1.956849761,30,78.27399043,0
101,DKLB BKLN,https://s3-media2.fl.yelpcdn.com/bphoto/HzCG1faVXGPDzpJmk8rShA/o.jpg,40.68978207,-73.9800477,11201,3,190,1116.666667,2.045792737,3.434530797,1.499939788,2.467235292,40.91585473,68.69061594,29.99879575
102,AKA Sutton Place,https://s3-media1.fl.yelpcdn.com/bphoto/Tdxqgh-srMAqUptWSKNLcA/o.jpg,40.75787,-73.96457,10022,4,104,1986.057584,5,3.732626733,1.683298702,2.707962717,100,74.65253465,33.66597403
103,EOS,https://s3-media1.fl.yelpcdn.com/bphoto/zP-qwz89Tbdt2hkLady6JQ/o.jpg,40.7477325,-73.9898099,10001,2.5,146,1400,3.296273002,3.834843818,1.570160815,2.702502316,65.92546003,76.69687636,31.40321629
104,Icon Rental Apartments,https://s3-media3.fl.yelpcdn.com/bphoto/mWP8lKEEfP4phbi60kCTFw/o.jpg,40.76106,-73.987661,10036,4,184,1000,2.671032869,3.886805551,1.093242401,2.490023976,53.42065738,77.73611102,21.86484802
105,461 Dean Apartments,https://s3-media3.fl.yelpcdn.com/bphoto/_Qew470lud22eOLud8y0NQ/o.jpg,40.681981,-73.975388,11217,4,134,1302.214038,5,3.628997051,4.883904153,4.256450602,100,72.57994102,97.67808305
